Head;Package;PackageDIT;PackageCoupling;PackageComplexity
Type;String;double;double;double
Min;null;0;0;0
Max;null;10;50;1000
Data;artofillusion.material;1.75;30.0;146.0
Data;artofillusion.keystroke;3.25;37.0;65.0
Data;artofillusion.image;1.6363636363636365;69.0;601.0
Data;artofillusion.math;1.0769230769230769;11.0;408.0
Data;artofillusion.ui;2.657142857142857;102.0;860.0
Data;artofillusion.procedural;1.826086956521739;76.0;1594.0
Data;artofillusion.animation.distortion;1.7058823529411764;56.0;472.0
Data;artofillusion.script;2.5;55.0;176.0
Data;artofillusion.texture;2.3142857142857145;72.0;1099.0
Data;artofillusion.image.filter;1.875;18.0;184.0
Data;artofillusion;2.2675324675324675;199.0;15844.0
Data;artofillusion.animation;1.9838709677419355;117.0;2612.0
Data;artofillusion.view;0.8;48.0;444.0
Data;artofillusion.util;1.3333333333333333;32.0;416.0
Data;artofillusion.object;2.037037037037037;92.0;2552.0
Head;Class;Type;Package;SuperClass;Ancestors;Interfaces;Targets;WMC;CBO;LCOM5;DIT
Type;String;String;String;String;StringList;StringList;StringList;double;double;double;double
Min;null;null;null;null;null;null;null;0;0;0;0
Max;null;null;null;null;null;null;null;100;25;2;10
Data;artofillusion.animation.Marker;Class;artofillusion.animation;java.lang.Object;java.lang.Object;;;1.0;0.0;0.0;1.0
Data;artofillusion.view.ViewerOrientationControl;Class;artofillusion.view;java.lang.Object;java.lang.Object;artofillusion.view.ViewerControl;artofillusion.ui.Translate,buoy.widget.BComboBox,buoy.widget.WidgetContainer,artofillusion.ViewerCanvas,buoy.event.EventSource,artofillusion.view.ViewerOrientationControl,buoy.widget.Widget,artofillusion.SceneViewer;15.0;8.0;0.4;1.0
Data;artofillusion.procedural.TurbulenceModule;Class;artofillusion.procedural;artofillusion.procedural.Module;artofillusion.procedural.Module,java.lang.Object;;java.io.DataOutputStream,artofillusion.ui.ComponentsDialog,artofillusion.math.Vec3,artofillusion.ui.Translate,artofillusion.math.Noise,java.io.DataInputStream,artofillusion.ui.ValueField,artofillusion.procedural.Module,java.lang.Math;30.0;9.0;0.7638888888888888;2.0
Data;artofillusion.ObjectTextureDialog;Class;artofillusion;buoy.widget.BDialog;buoy.widget.BDialog,buoy.widget.WindowWidget,buoy.widget.WidgetContainer,buoy.widget.Widget,buoy.event.EventSource,java.lang.Object;artofillusion.ListChangeListener;artofillusion.ui.Translate,buoy.widget.RowContainer,java.lang.Runnable,artofillusion.texture.LayeredMapping,artofillusion.TextureParameter,artofillusion.ui.ActionProcessor,buoy.widget.BList,buoy.widget.BDialog,artofillusion.UndoRecord,artofillusion.texture.LayeredTexture,buoy.event.ValueChangedEvent,artofillusion.ui.UIUtilities,buoy.widget.FormContainer,artofillusion.LayoutWindow,buoy.event.SelectionChangedEvent,artofillusion.texture.TextureMapping,artofillusion.TexturesDialog,artofillusion.animation.Score,artofillusion.object.Object3D,buoy.event.EventSource,artofillusion.object.ObjectWrapper,artofillusion.texture.Texture,buoy.widget.Widget,artofillusion.texture.ParameterValue,artofillusion.object.ObjectInfo,buoy.widget.BComboBox,artofillusion.MaterialPreviewer,buoy.widget.BScrollPane,buoy.widget.WindowWidget,java.awt.event.MouseEvent,artofillusion.Scene,buoy.widget.BorderContainer,artofillusion.ui.ValueSelector;84.0;33.0;0.8959183673469387;6.0
Data;artofillusion.texture.ParameterValue;Interface;artofillusion.texture;null;;;;4.0;0.0;0.0;0.0
Data;artofillusion.object.ObjectCollection;Class;artofillusion.object;artofillusion.object.Object3D;artofillusion.object.Object3D,java.lang.Object;;java.util.Enumeration,artofillusion.object.Object3D,artofillusion.ViewerCanvas,java.util.Vector,artofillusion.Scene,artofillusion.Camera,artofillusion.math.BoundingBox,artofillusion.object.TriangleMesh,artofillusion.math.CoordinateSystem,artofillusion.object.ObjectInfo;32.0;10.0;0.9196428571428571;2.0
Data;artofillusion.procedural.MaxModule;Class;artofillusion.procedural;artofillusion.procedural.Module;artofillusion.procedural.Module,java.lang.Object;;artofillusion.math.Vec3,artofillusion.procedural.Module;11.0;2.0;0.75;2.0
