Head;Package;PackageDIT;PackageCoupling;PackageComplexity;MainAuthor;NumberOfAuthor;NumberOfCommit;LastUpdate;DateIntro
Type;String;double;double;double;String;double;double;Date;Date
Min;null;0;0;0;null;0;0;04-04-22 18:01;04-04-22 18:01
Max;null;10;50;1000;cidus:unclouded:coezbek:sergiocambra:julviala:mpope:stiangre:burschik:chrisdagnon:olivierschmitt:abartels:pruano:erik_bergersjo:ricfaith;10;100;09-02-25 16:37;09-02-25 16:37
Data;net.sf.freecol;3.408450704225352;231.0;14820.0;burschik;25;12977;09-02-11 11:47;09-02-25 16:37
Data;net.sf.freecol.common.io;1.6666666666666667;10.0;26.0;stiangre;2;21;09-02-01 10:10;09-02-05 16:13
Data;net.sf.freecol.client.gui;4.423580786026201;269.0;4627.0;burschik;25;4638;09-02-11 10:59;08-04-04 17:10
Data;net.sf.freecol.common.option;2.923076923076923;26.0;231.0;stiangre;9;181;09-02-01 07:10;05-04-12 14:20
Data;net.sf.freecol.server.generator;1.4285714285714286;49.0;487.0;burschik;16;329;09-02-07 04:31;04-04-22 18:01
Data;net.sf.freecol.client.gui.i18n;1.0;6.0;23.0;burschik;8;53;08-12-30 12:29;04-04-22 18:01
Data;net.sf.freecol.server.model;2.6666666666666665;13.0;41.0;stiangre;10;62;08-12-30 09:41;04-04-22 18:01
Data;net.sf.freecol.common.model;2.275;61.0;4626.0;burschik;22;4305;09-02-11 11:47;04-04-22 18:01
Data;net.sf.freecol.client.control;1.25;88.0;976.0;burschik;19;889;09-02-09 14:36;04-04-22 18:01
Data;net.sf.freecol.common.util;1.2;13.0;79.0;burschik;7;29;08-12-30 10:57;06-02-12 19:18
Data;net.sf.freecol.client;4.282157676348548;283.0;5754.0;burschik;25;5697;09-02-11 10:59;08-04-04 17:10
Data;net.sf.freecol.tools;1.0;15.0;61.0;burschik;5;10;07-10-14 08:15;06-11-02 17:35
Data;net.sf.freecol.client.gui.option;4.583333333333333;47.0;215.0;stiangre;9;159;09-02-01 10:00;05-04-21 18:53
Data;net.sf.freecol.common.logging;2.0;13.0;13.0;stiangre;5;22;08-07-21 11:48;04-04-22 18:01
Data;net.sf.freecol.server.ai;3.303030303030303;77.0;2087.0;stiangre;15;1019;09-02-06 09:48;09-01-18 09:54
Data;net.sf.freecol.server.networking;2.0;9.0;28.0;stiangre;9;43;08-11-24 15:45;04-04-22 18:01
Data;net.sf.freecol.server.ai.mission;3.9285714285714284;58.0;621.0;stiangre;13;421;09-01-15 19:12;04-10-11 15:25
Data;net.sf.freecol.client.networking;1.0;2.0;9.0;stiangre;6;15;08-10-17 12:36;04-04-22 18:01
Data;net.sf.freecol.server.control;2.111111111111111;80.0;746.0;burschik;16;699;09-02-07 04:31;04-04-22 18:01
Data;net.sf;3.408450704225352;231.0;14820.0;burschik;25;12977;09-02-11 11:47;09-02-25 16:37
Data;net.sf.freecol.client.gui.action;3.9473684210526314;63.0;465.0;burschik;12;753;09-02-04 01:10;05-05-22 10:12
Data;net.sf.freecol.common;2.113821138211382;86.0;5362.0;burschik;22;4831;09-02-11 11:47;09-02-05 16:13
Data;net.sf.freecol.server;2.7454545454545456;120.0;3500.0;stiangre;19;2257;09-02-07 04:31;09-01-18 09:54
Data;net.sf.freecol.client.gui.menu;7.0;10.0;43.0;burschik;5;20;08-12-30 09:41;06-12-25 12:16
Data;net.sf.freecol.metaserver;1.5;20.0;48.0;stiangre;5;56;08-12-30 12:29;05-02-19 14:53
Data;net;3.408450704225352;227.0;14820.0;burschik;25;12977;09-02-11 11:47;09-02-25 16:37
Data;net.sf.freecol.common.resources;1.2;12.0;51.0;stiangre;3;16;09-02-05 16:23;08-05-06 16:04
Data;net.sf.freecol.common.networking;1.2727272727272727;33.0;184.0;stiangre;10;135;08-12-31 04:14;04-04-22 18:01
Data;net.sf.freecol.client.gui.panel;5.466666666666667;197.0;2464.0;burschik;24;2372;09-02-11 10:59;04-04-22 18:01
Data;net.sf.freecol.client.gui.sound;1.4;18.0;85.0;stiangre;7;65;08-12-05 18:22;04-04-22 18:01
Data;net.sf.freecol.client.gui.plaf;4.238095238095238;27.0;129.0;stiangre;8;239;08-05-06 16:04;04-04-22 18:01
Data;net.sf.freecol.client.gui.animation;1.5;15.0;25.0;cidus;3;29;09-02-09 14:36;08-04-04 17:10
Head;Class;Type;Package;SuperClass;Ancestors;Interfaces;Targets;WMC;CBO;LCOM5;DIT;MainAuthor;NumberOfAuthor;NumberOfCommit;LastUpdate;DateIntro
Type;String;String;String;String;StringList;StringList;StringList;double;double;double;double;String;double;double;Date;Date
Min;null;null;null;null;null;null;null;0;0;0;0;null;0;0;04-04-22 18:01;04-04-22 18:01
Max;null;null;null;null;null;null;null;100;25;2;10;cidus:unclouded:coezbek:sergiocambra:julviala:mpope:stiangre:burschik:chrisdagnon:olivierschmitt:abartels:pruano:erik_bergersjo:ricfaith;10;100;09-02-25 16:37;09-02-25 16:37
Data;net.sf.freecol.client.gui.TerrainCursor;Class;net.sf.freecol.client.gui;java.lang.Object;java.lang.Object;java.awt.event.ActionListener;java.awt.event.ActionListener,javax.swing.Timer,javax.swing.event.EventListenerList;17.0;3.0;0.8942307692307693;1.0;burschik;2;3;07-10-14 08:15;07-01-27 08:25
Data;net.sf.freecol.client.gui.panel.MarketLabel;Class;net.sf.freecol.client.gui.panel;javax.swing.JLabel;javax.swing.JLabel,javax.swing.JComponent,java.awt.Container,java.awt.Component,java.lang.Object;java.awt.event.ActionListener;net.sf.freecol.common.model.FreeColGameObjectType,net.sf.freecol.FreeCol,net.sf.freecol.common.model.Player,net.sf.freecol.common.model.MarketData,net.sf.freecol.client.gui.ImageLibrary,java.awt.event.ActionEvent,net.sf.freecol.common.model.GoodsType,java.lang.Integer,net.sf.freecol.common.model.Game,java.awt.Component,java.util.logging.Logger,javax.swing.JLabel,javax.swing.JComponent;16.0;13.0;0.8;5.0;stiangre;6;23;08-03-21 05:35;04-04-24 21:14
Data;net.sf.freecol.client.gui.action.SaveAction;Class;net.sf.freecol.client.gui.action;net.sf.freecol.client.gui.action.MapboardAction;net.sf.freecol.client.gui.action.MapboardAction,net.sf.freecol.client.gui.action.FreeColAction,javax.swing.AbstractAction,java.lang.Object;;net.sf.freecol.client.FreeColClient,net.sf.freecol.client.control.InGameController,java.util.logging.Logger,net.sf.freecol.client.gui.Canvas,javax.swing.KeyStroke,net.sf.freecol.client.control.MapEditorController;6.0;6.0;1.1666666666666667;4.0;burschik;5;10;09-01-17 06:19;06-12-25 12:09
Data;net.sf.freecol.server.control.FreeColServerHolder;Class;net.sf.freecol.server.control;java.lang.Object;java.lang.Object;;net.sf.freecol.server.FreeColServer;4.0;1.0;0.3333333333333333;1.0;erik_bergersjo;3;5;07-11-22 12:32;07-02-04 12:34
Data;net.sf.freecol.common.option.Option;Interface;net.sf.freecol.common.option;null;;;;11.0;0.0;1.1;0.0;stiangre;3;17;08-07-13 04:04;05-04-12 14:20
Data;net.sf.freecol.client.gui.option.RangeOptionUI;Class;net.sf.freecol.client.gui.option;javax.swing.JPanel;javax.swing.JPanel,javax.swing.JComponent,java.awt.Container,java.awt.Component,java.lang.Object;net.sf.freecol.client.gui.option.OptionUpdater,java.beans.PropertyChangeListener;net.sf.freecol.common.option.AbstractOption,net.sf.freecol.common.option.RangeOption,java.util.Hashtable,java.lang.String,java.lang.Integer,java.util.logging.Logger,net.sf.freecol.common.option.SelectOption,javax.swing.JSlider,net.sf.freecol.common.model.FreeColObject,java.awt.Container,java.util.Collection,javax.swing.JComponent;12.0;12.0;0.6;5.0;burschik;4;8;08-09-13 06:51;08-01-19 01:36
Data;net.sf.freecol.client.gui.action.ColopediaTerrainAction;Class;net.sf.freecol.client.gui.action;net.sf.freecol.client.gui.action.MapboardAction;net.sf.freecol.client.gui.action.MapboardAction,net.sf.freecol.client.gui.action.FreeColAction,javax.swing.AbstractAction,java.lang.Object;;java.util.logging.Logger,net.sf.freecol.client.gui.Canvas;4.0;2.0;1.1666666666666667;4.0;burschik;3;9;08-02-09 07:26;06-12-25 12:09
Data;net.sf.freecol.common.option.OptionMap;Class;net.sf.freecol.common.option;net.sf.freecol.common.option.OptionGroup;net.sf.freecol.common.option.OptionGroup,net.sf.freecol.common.option.AbstractOption,net.sf.freecol.common.model.FreeColObject,java.lang.Object;;java.io.InputStream,net.sf.freecol.common.option.Option,java.lang.String,java.util.HashMap,net.sf.freecol.common.option.IntegerOption,javax.xml.stream.XMLStreamWriter,net.sf.freecol.common.option.BooleanOption,net.sf.freecol.common.option.FileOption,javax.xml.stream.XMLStreamReader,java.util.Iterator,java.util.logging.Logger,net.sf.freecol.common.option.SelectOption,java.lang.Throwable,java.io.File,net.sf.freecol.common.model.FreeColObject,net.sf.freecol.common.option.OptionGroup,javax.xml.stream.XMLInputFactory,javax.xml.stream.XMLOutputFactory,java.util.Collection;40.0;19.0;0.7777777777777778;4.0;stiangre;6;25;08-06-26 11:37;05-04-21 18:53
